Date,Humedad (voltios)
10/26/17 17:56:16,73
10/26/17 17:56:17,73
10/26/17 17:56:17,73
10/26/17 17:56:18,73
10/26/17 17:56:18,73
10/26/17 17:56:19,73
10/26/17 17:56:19,73
10/26/17 17:56:20,73
10/26/17 17:56:20,73
10/26/17 17:56:21,73
10/26/17 17:56:21,73
10/26/17 17:56:22,73
10/26/17 17:56:22,73
10/26/17 17:56:23,73
10/26/17 17:56:23,73
10/26/17 17:56:24,73
10/26/17 17:56:24,73
10/26/17 17:56:25,73
10/26/17 17:56:25,73
10/26/17 17:56:26,73
10/26/17 17:56:26,73
10/26/17 17:56:27,73
10/26/17 17:56:27,73
10/26/17 17:56:28,73
10/26/17 17:56:28,73
10/26/17 17:56:29,73
10/26/17 17:56:29,73
10/26/17 17:56:30,73
10/26/17 17:56:30,73
10/26/17 17:56:31,73
10/26/17 17:56:31,73
10/26/17 17:56:32,73
10/26/17 17:56:32,73
10/26/17 17:56:33,73
10/26/17 17:56:33,73
10/26/17 17:56:34,73
10/26/17 17:56:34,73
10/26/17 17:56:35,73
10/26/17 17:56:35,73
10/26/17 17:56:36,73
10/26/17 17:56:36,73
10/26/17 17:56:37,73
10/26/17 17:56:37,73
10/26/17 17:56:38,73
10/26/17 17:56:38,73
10/26/17 17:56:39,73
10/26/17 17:56:39,73
10/26/17 17:56:40,73
10/26/17 17:56:40,73
10/26/17 17:56:41,73
10/26/17 17:56:41,73
10/26/17 17:56:42,73
10/26/17 17:56:42,73
10/26/17 17:56:43,73
10/26/17 17:56:43,73
10/26/17 17:56:44,73
10/26/17 17:56:44,73
10/26/17 17:56:45,73
10/26/17 17:56:45,73
10/26/17 17:56:46,73
